SHOE_NAME,Brand,Features,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Release Date,Toebox,Weight (oz),Widths Available
Reebok Nano X2 TR Adventure,Reebok,{},,,7.0,140.00,2022,,13.2,{Standard}
Nike Tech Trainer,Nike,{},,,,100.00,,,,{Standard}
Jordan Trainer Prime,Jordan,{},,,,110.00,,,,{Standard}
Reebok Nano X,Reebok,{Low Drop},,,4.0,130.00,2020,Medium,14.1,{Standard}
PUMA Zone XT,PUMA,{Cheap},,,,80.00,2020,Medium,,{Standard}
Reebok Nano X3,Reebok,{},,7.0,,140.00,2023,,13.5,{Standard}
Skechers Burns - Agoura,Skechers,{Cheap},,19.0,,55.00,,,11.0,{Standard}
Skechers Skech-Air Extreme,Skechers,{Cheap},,32.0,,75.00,,,,{Standard}
New Balance 857 v2,New Balance,{High Drop},,,10.0,125.00,,,15.7,"{Narrow, Standard, Wide, Extra Wide}"
Skechers Satisfaction - Flash Point,Skechers,{Lightweight},,,,55.00,,,10.0,"{Standard, Wide}"
PUMA LQDCELL Tension,PUMA,{},,,,100.00,2020,Medium,,{Standard}
Reebok Nano 6000,Reebok,{},,,,135.00,2022,,,{Standard}
Vibram FiveFingers V-Train,Vibram FiveFingers,"{Expensive, Minimalist, Low Drop, Lightweight}",6.0,6.0,0.0,160.00,,,6.4,{Standard}
PUMA TSUGI Blaze,PUMA,{},,,,90.00,,,16.0,{Standard}
Skechers Track - Bucolo,Skechers,{Cheap},,25.0,,60.00,,,,"{Standard, Wide}"
Skechers Flex Advantage 3.0 - Stally,Skechers,{Cheap},,,,65.00,,,,"{Standard, Wide}"
Skechers Vigor 2.0 - The Beard,Skechers,{Cheap},,44.0,,60.00,,,,"{Standard, Wide, Extra Wide}"
Under Armour SpeedForm AMP 2.0,Under Armour,"{Low Drop, Lightweight}",,,2.0,120.00,,,9.3,"{Narrow, Standard}"
Under Armour Ultimate Speed,Under Armour,{Lightweight},,,6.0,100.00,,Wide,9.8,"{Narrow, Standard}"
NOBULL Trainer,NoBull,"{Low Drop, Lightweight}",,,4.0,129.00,,Medium,10.0,{Standard}
Nike Renew In-Season TR 12,Nike,{Cheap},,,,80.00,2023,,,{Standard}
