SHOE_NAME,Brand,Cleat Design,Closure,MSRP (USD),Release Date,Rigidity,Use,Weight (oz)
Giro Sentrie Techlace,Giro,{3 Holes},"{Velcro, BOA, Lace}",250.00,2019,Rigid,{Road},8.6
Giro Trans BOA,Giro,{3 Holes},"{Velcro, BOA}",200.00,2019,Stiff,{Road},9.3
Bont Vaypor,Bont,{3 Holes},"{Velcro, Ratchet}",99.00,2020,Rigid,{Road},8.5
Vittoria 1976 Classic,Vittoria,"{Flat, 2 Holes}",{Lace},180.00,2020,Stiff,{Road},9.9
Sidi Eagle 10,Sidi,{2 Holes},{BOA},250.00,2020,Stiff,{Mountain},12.2
Fizik Transiro Infinito R3,Fizik,{3 Holes},"{Velcro, BOA}",300.00,2020,Rigid,{Triathlon},8.1
Ion Rascal,Ion,{2 Holes},"{Velcro, Lace}",150.00,2020,Moderate,{Mountain},16.6
Giro Cylinder,Giro,{2 Holes},"{Velcro, BOA}",150.00,2019,Stiff,{Mountain},11.1
Northwave Storm Carbon,Northwave,{3 Holes},"{Velcro, BOA}",192.00,2020,Rigid,{Road},10.5
Bont Riot,Bont,{3 Holes},"{Velcro, Ratchet}",130.00,2020,Stiff,{Road},10.4
Sidi T-5 Air,Sidi,{3 Holes},{Velcro},260.00,2020,Stiff,{Triathlon},9.7
Northwave Corsair,Northwave,{2 Holes},"{BOA, Lace}",115.00,2020,Moderate,{Mountain},14.8
Giro Prolight Techlace,Giro,{3 Holes},"{Velcro, Lace}",400.00,2020,Rigid,{Road},5.6
Lake MX241 Endurance,Lake,{2 Holes},{BOA},370.00,2020,Rigid,{Mountain},14.1
Giro Rev,Giro,{2 Holes},{Velcro},100.00,2020,Stiff,"{Indoor, Road}",11.1
Northwave Clan,Northwave,{Flat},{Lace},150.00,2020,Moderate,{Mountain},17.1
Vittoria Alisè,Vittoria,{3 Holes},{BOA},130.00,2020,Stiff,{Road},5.4
Giro Raes Techlace,Giro,{3 Holes},"{Velcro, BOA, Lace}",250.00,2019,Stiff,"{Triathlon, Road}",
Northwave X-Trail,Northwave,{2 Holes},{Velcro},210.00,2020,Stiff,"{Casual, Mountain}",12.8
Northwave Tribute 2,Northwave,{3 Holes},{Velcro},150.00,2020,,{Triathlon},10.2
Vaude AM Moab Mid STX,Vaude,{Flat},{Lace},225.00,2020,Flexible,{Mountain},16.2
