SHOE_NAME,Brand,Closure,Cut,MSRP (USD),Pronation,Release Date,Season,Use,Waterproofing,Weight (oz),Widths Available
Salomon Crossamphibian Swift 2,Salomon,Laces,Low,90.00,{},2019,{Summer},{Water},,7.4,{Standard}
Adidas Terrex Eastrail,Adidas,Laces,Low,70.00,{Neutral},2019,{Summer},{Day},,12.3,{Standard}
KEEN Targhee Exp WP,KEEN,Laces,Low,135.00,{Neutral},2020,{},{Day},Waterproof,16.0,{Standard}
Mammut Ducan Mid GTX,Mammut,Laces,Mid,209.00,{},2020,{},{Day},Waterproof,18.0,{Standard}
Salewa Dropline GTX,Salewa,Laces,Low,160.00,{Neutral},2020,{},{Speed},Waterproof,13.1,{Standard}
The North Face Activist Futurelight,The North Face,Laces,Low,135.00,{Neutral},2020,{},"{Urban, Day}",Waterproof,12.3,{Standard}
Adidas Terrex Eastrail GTX,Adidas,Laces,Low,110.00,{},2019,{},{Day},Waterproof,12.7,{Standard}
Merrell Altalight Waterproof,Merrell,Laces,Low,140.00,{Neutral},2020,{},{Day},Waterproof,13.4,{Standard}
Merrell Catalyst Suede,Merrell,Laces,Low,110.00,{},2022,{Summer},"{Light, Urban}",,12.5,{Standard}
Oboz Sawtooth Low BDry,Oboz,Laces,Low,140.00,{},,{},{Day},Waterproof,16.7,"{Standard, Wide}"
Salewa Alp Trainer 2,Salewa,Laces,Low,160.00,{},2022,{},"{Backpacking, Day}",,15.9,{Standard}
Timberland Mt. Maddsen Slip-On,Timberland,Slip On,Low,100.00,{Neutral},2020,{},{Day},,,"{Standard, Wide}"
On Cloudwander Waterproof,On,Laces,Low,180.00,{},,{},"{Urban, Day}",Waterproof,13.8,{Standard}
Arc'teryx Aerios FL Mid GTX,Arc'teryx,Laces,Mid,185.00,{},2019,{},{Day},Waterproof,13.1,{Standard}
Danner Trail 2650 Campo GTX,Danner,Laces,Low,200.00,{},2022,{},"{Desert, Day}",Waterproof,12.0,"{Standard, Wide}"
Oboz Bridger Low BDry,Oboz,Laces,Low,140.00,{},,{},{Day},Waterproof,17.7,"{Standard, Wide}"
KEEN Tempo Flex Waterproof,KEEN,Laces,Low,150.00,{},2021,{},{Day},Waterproof,14.0,{Standard}
Astral TR1 Mesh,Astral,Laces,Low,125.00,{},,{Summer},"{Water, Light}",,10.6,{Standard}
Salomon X Reveal GTX,Salomon,Laces,Low,110.00,{Neutral},2020,{},"{Light, Urban}",Waterproof,11.3,{Standard}
Vivobarefoot Magna Trail,Vivobarefoot,Laces,Mid,210.00,{},2019,{},{Day},,11.8,"{Standard, Wide}"
Lowa Locarno GTX Lo,Lowa,Laces,Low,195.00,{},,{},{Day},Waterproof,14.5,"{Standard, Wide}"
Columbia Facet 45 Outdry,Columbia,Slip On,Mid,150.00,{},2020,{},"{Speed, Urban}",Waterproof,17.6,{Standard}
Teva Ridgeview Low,Teva,Laces,Low,140.00,{},2021,{},{Backpacking},Waterproof,17.0,"{Narrow, Standard}"
Meindl Respond GTX,Meindl,Laces,Low,120.00,{Neutral},2020,{},"{Urban, Day}",Waterproof,14.5,{Standard}
Danner Jag Loft,Danner,Slip On,Low,150.00,{},2023,{Winter},"{Snow, Light}",,11.0,{Standard}
Merrell Choprock,Merrell,Laces,Low,120.00,{},2019,{Summer},{Water},,13.4,{Standard}
KEEN Explore WP,KEEN,Laces,Low,125.00,{},2019,{},{Day},Waterproof,15.1,{Standard}
Merrell Forestbound Waterproof,Merrell,Laces,Low,120.00,{Neutral},2020,{},{Day},Waterproof,13.6,{Standard}
Vibram Fivefingers V-Trek,Vibram FiveFingers,Laces,Mid,125.00,{Neutral},2020,{Summer},"{Water, Day}",,6.5,"{Standard, Wide}"
Oboz Sypes Low Leather Waterproof,Oboz,Laces,Low,145.00,{},2021,{},"{Urban, Day}",Waterproof,15.7,"{Standard, Wide}"
Mammut Ducan Low GTX,Mammut,Laces,Low,160.00,{Neutral},2020,{},{Day},Waterproof,14.8,{Standard}
Merrell Zion Waterproof,Merrell,Laces,Low,140.00,{},2020,{},{Speed},Waterproof,,{Standard}
Danner Rivercomber,Danner,Laces,Low,120.00,{Neutral},2020,{Summer},{Water},,11.0,"{Standard, Wide}"
Merrell Moab Edge,Merrell,Laces,Low,90.00,{},,{Summer},{Day},,13.5,"{Standard, Wide}"
Meindl Caracas GTX,Meindl,Laces,Low,175.00,{Neutral},2020,{},{Light},Waterproof,16.2,{Standard}
Adidas Terrex Eastrail Mid GTX,Adidas,Laces,Mid,135.00,{Neutral},2020,{},{Light},Waterproof,13.8,{Standard}
Salewa Speed Beat GTX,Salewa,Laces,Low,200.00,{},,{},{Speed},Waterproof,12.3,{Standard}
Merrell Ontario,Merrell,Laces,Low,140.00,{},,{Summer},{Day},,13.2,{Standard}
Danner Panorama Low,Danner,Laces,Low,150.00,{},2023,{},{Day},Waterproof,17.0,"{Standard, Wide}"
Mammut Ultimate Pro Low GTX,Mammut,Laces,Low,140.00,{},2019,{},{Day},Waterproof,12.3,{Standard}
Salewa Mountain Trainer,Salewa,Laces,Low,150.00,{Neutral},2020,{Summer},"{Backpacking, Day}",,18.2,{Standard}
Columbia Peakfreak X2 Outdry,Columbia,Laces,Low,110.00,{},2019,{},"{Urban, Day}",Waterproof,12.1,"{Standard, Wide}"
Meindl Caribe GTX,Meindl,Laces,Low,130.00,{Neutral},2020,{},"{Light, Urban}",Waterproof,12.0,{Standard}
Salewa Mountain Trainer GTX,Salewa,Laces,Low,200.00,{Neutral},2019,{},{Backpacking},Waterproof,18.9,{Standard}
Merrell Waterpro Maipo 2,Merrell,Laces,Low,100.00,{},2019,{Summer},{Water},,10.3,{Standard}
