SHOE_NAME,Brand,Features,Lockdown,MSRP (USD),Release Date,Signature,Top,Weight (oz)
Air Jordan 37 Low,Jordan,{},{Laces},175.00,2023,Michael Jordan,Low,12.2
Nike Renew Elevate 2,Nike,"{Ankle Support, Cheap}",{Laces},80.00,2021,,Mid,
Jordan One Take 3,Jordan,"{Outdoor, Cheap}",{Laces},100.00,2021,Russell Westbrook,Low,10.3
Adidas D Rose 11,Adidas,{Ankle Support},{Laces},120.00,2021,Derrick Rose,Mid,14.8
Jordan Legacy 312 Low,Jordan,{},"{Laces, Strap}",130.00,,Michael Jordan,Low,
PUMA TRC Blaze Court,PUMA,{},{Laces},120.00,2022,,Low,11.4
PUMA Ralph Sampson Mid,PUMA,"{Retro, Ankle Support, Cheap}",{Laces},90.00,,Ralph Sampson,Mid,
PUMA Palace Guard,PUMA,{Cheap},{Laces},90.00,,,Low,
Jordan Zoom Separate,Jordan,{Outdoor},{Laces},120.00,2022,Luka Doncic,Low,
Reebok Solution Mid,Reebok,"{Ankle Support, Cheap}",{Laces},90.00,2022,Allen Iverson,Mid,
Reebok Question Low,Reebok,{},{Laces},115.00,,Allen Iverson,Low,
Adidas D.O.N. Issue #1,Adidas,{Cheap},{Laces},100.00,,Donovan Mitchell,Low,15.0
Adidas T-Mac 1,Adidas,"{Retro, Ankle Support, Outdoor}",{Laces},130.00,2022,Tracy McGrady,Mid,
New Balance TWO WXY V2,New Balance,{},{Laces},130.00,2022,,Low,10.8
Under Armour Curry 8,Under Armour,{},"{Laces, Slip-On}",160.00,2021,Stephen Curry,Low,12.2
Nike Kyrie Flytrap,Nike,{Cheap},{Laces},80.00,,Kyrie Irving,Low,11.1
Nike Kyrie Flytrap 6,Nike,"{Outdoor, Cheap}",{Laces},95.00,2022,Kyrie Irving,Low,12.0
Adidas Marquee Boost Low,Adidas,{},{Laces},120.00,,,Low,
Nike Adapt BB,Nike,{Expensive},{Laces},350.00,,,Low,
PUMA Court Rider 2,PUMA,{},{Laces},110.00,2022,,Low,
PUMA MB.01,PUMA,{Ankle Support},{Laces},125.00,2022,LaMelo Ball,Mid,13.8
Nike KD Trey 5 VIII,Nike,"{Ankle Support, Cheap}",{Laces},90.00,2019,Kevin Durant,Mid,
Nike KD Trey 5 IX,Nike,"{Ankle Support, Cheap}",{Laces},90.00,2021,Kevin Durant,Mid,10.7
Adidas Harden Vol 3,Adidas,{},{Laces},140.00,,James Harden,Low,13.8
PUMA Legacy,PUMA,{Ankle Support},{Laces},110.00,2019,,High,
Nike Precision 4,Nike,{Cheap},{Laces},70.00,2019,,Low,
PUMA Uproar,PUMA,"{Ankle Support, Cheap}",{Laces},90.00,,,Mid,
Nike Zoom Freak 1,Nike,"{Ankle Support, Outdoor}",{Laces},120.00,,Giannis Antetokounmpo,Mid,12.0
Adidas Pro Model 2G Low,Adidas,"{Retro, Outdoor, Cheap}",{Laces},85.00,2021,,Low,
Nike Air Deldon,Nike,{Ankle Support},"{Laces, Strap}",120.00,2022,Elena Delle Donne,Mid,12.0
Adidas Pro Bounce 2018,Adidas,{Ankle Support},{Laces},120.00,,,High,
Nike KD 13,Nike,{Ankle Support},{Laces},150.00,2019,Kevin Durant,Mid,12.1
Nike AlphaDunk,Nike,{Ankle Support},{Laces},180.00,,,High,
Adidas D Rose Son Of Chi,Adidas,"{Ankle Support, Outdoor, Cheap}",{Laces},100.00,2021,Derrick Rose,Mid,12.7
Adidas Harden Stepback,Adidas,"{Ankle Support, Cheap}",{Laces},80.00,2019,James Harden,Mid,
Adidas Pro Vision,Adidas,"{Ankle Support, Cheap}",{Laces},100.00,,,Mid,11.9
Nike LeBron 16,Nike,"{Expensive, Ankle Support, Outdoor}",{Laces},200.00,,LeBron James,Mid,15.6
Nike LeBron Soldier 14,Nike,{Ankle Support},{Laces},140.00,2019,LeBron James,Mid,12.3
Nike Air Zoom G.T. Run,Nike,{Ankle Support},{Laces},175.00,2021,,Mid,11.6
Adidas Trae Young 2,Adidas,{Ankle Support},{Laces},140.00,2022,,Mid,13.5
Converse All Star BB Shift,Converse,{Outdoor},{Laces},120.00,2022,,Low,
Reebok Mobius,Reebok,{Ankle Support},{Laces},140.00,,,High,
Nike Zoom Rize,Nike,"{Ankle Support, Outdoor}",{Laces},140.00,,,High,
PUMA MB.02,PUMA,"{Ankle Support, Outdoor}",{Laces},130.00,2022,LaMelo Ball,Mid,13.1
Nike Kyrie Low 4,Nike,{},{Laces},110.00,2021,Kyrie Irving,Low,11.9
Adidas Crazy Explosive,Adidas,{Ankle Support},{Laces},130.00,,,High,17.5
Reebok Shaqnosis,Reebok,"{Ankle Support, Outdoor}",{Laces},150.00,,Shaquille O'Neal,High,
Adidas Crazy Explosive 2017,Adidas,{Ankle Support},{Laces},130.00,,,Mid,15.1
Nike Zoom Rize 2,Nike,{},{Laces},160.00,2021,,Low,13.5
Adidas Crazy BYW X,Adidas,"{Expensive, Ankle Support}","{Laces, Slip-On}",200.00,,,High,13.1
Adidas Pro Boost Low,Adidas,{Outdoor},{Laces},110.00,2019,,Low,
Nike Fly.By Mid 3,Nike,"{Outdoor, Cheap}",{Laces},65.00,2022,,Low,10.2
Adidas Crazy 8,Adidas,"{Retro, Ankle Support}",{Laces},150.00,,Kobe Bryant,Mid,13.5
Under Armour Jet '21,Under Armour,{Cheap},{},55.00,2022,,,
Adidas Crazy 97,Adidas,{Ankle Support},{Laces},130.00,,Kobe Bryant,Mid,12.7
Reebok Answer DMX,Reebok,{Ankle Support},{Laces},165.00,,Allen Iverson,High,
Nike Zoom Rookie,Nike,"{Expensive, Ankle Support}",{Laces},210.00,,,Mid,
